Toplam kelime sayısı: 184384
Tekil kelime sayısı: 19456

Kelime                          Frekans  Most Likely Tag
slackened                             1  vbn
retarding                             1  vbg
outstate                              1  jj
dalton's                              1  np$
nine-state                            1  jj
impartial                             1  jj
dovetail                              1  vb
schwada                               1  np
outlined                              1  vbd
city-owned                            1  jj
accommodate                           1  vb
herrin-murphysboro-west               1  np
frankfort                             1  np
politics-ridden                       1  jj
vacant                                1  jj
unstable                              1  jj
plant-location                        1  nn
acceleration                          1  nn
second-class                          1  nn
confess                               1  vb
primaries                             1  nns
badges                                1  nns
sachems                               1  nns
balks                                 1  vbz
expunging                             1  nn
sedition                              1  nn
reforming                             1  vbg
cartoonists                           1  nns
banishment                            1  nn
donkey                                1  nn
elephant                              1  nn
tiger's                               1  nn$
mariano                               1  np
interrogator                          1  nn
anti-castro                           1  jj
faget's                               1  np$
outdated                              1  vbn
haven                                 1  nn
disturb                               1  vb
rests                                 1  vbz
prerogatives                          1  nns
diligently                            1  rb
all-powerful                          1  jj
salvage                               1  nn
aloof                                 1  rb
strife                                1  nn
sniping                               1  nn
postcard                              1  nn
nigeria                               1  np
ridicule                              1  nn
ungracious                            1  jj
lent                                  1  vbd
fellowships                           1  nns-tl
blithely                              1  rb
dollarette                            1  nn
peacetime                             1  nn
ex-presidents                         1  nns
truman's                              1  np$
off-the-cuff                          1  jj
discourses                            1  nns
statesmanship                         1  nn
1936                                  1  cd
prosaic                               1  jj
q3                                    1  nn
shipbuilding                          1  nn
$50,400,000                           1  nns
$84,000,000                           1  nns
75,000-ton                            1  jj
trans-atlantic                        1  jj
cunard's                              1  np$
75,000                                1  cd
cheaper                               1  jjr
cruises                               1  nns
airways                               1  nns-tl
dominance                             1  nn
taylor's                              1  np$
saigon                                1  np
dispatching                           1  vbg
bolster                               1  vb
mobilization                          1  nn
mekong                                1  np-tl
interposed                            1  vbn
nam's                                 1  np$-tl
destroyed                             1  vbn
cong                                  1  np
stored                                1  vbn
floods                                1  nns
recede                                1  vb
monsoon                               1  nn
indochina                             1  np
ridgway                               1  np
divisions                             1  nns
ngo                                   1  np
dinh                                  1  np
$1,450,000,000                        1  nns
johnson's                             1  np$
level-headed                          1  jj
succumb                               1  vb
morass                                1  nn
controversies                         1  nns
axes                                  1  nns
grind                                 1  vb
term-end                              1  nn
presentments                          1  nns
september-october                     1  np
durwood                               1  np
pye                                   1  np
hard-fought                           1  jj
mayor-nominate                        1  nn-tl
modernizing                           1  vbg
re-set                                1  vb
effected                              1  vbn
swipe                                 1  nn
proportionate                         1  jj
disable                               1  vb
disproportionate                      1  jj
ordinary's                            1  nn$
appraisers                            1  nns
administrators                        1  nns
awarding                              1  nn
incorporated                          1  vbn
juries                                1  nns
court's                               1  nn$
unmeritorious                         1  jj
multi-million-dollar                  1  jj
periodic                              1  jj
surveillance                          1  nn
concessionaires                       1  nns
intern                                1  nn
extern                                1  nn
commissioner's                        1  nn$-tl
bellwood                              1  np
alpharetta                            1  np
cheshire                              1  np
amicable                              1  jj
wife's                                1  nn$
opelika                               1  np
637                                   1  cd
interlude                             1  nn
expires                               1  vbz
dorsey                                1  np
hurdle                                1  nn
requesting                            1  vbg
caldwell's                            1  np$
rob                                   1  np
ledford                               1  np
gainesville                           1  np
$30                                   1  nns
validity                              1  nn
schley                                1  np
body's                                1  nn$
quickie                               1  nn
repealed                              1  vbn
87-31                                 1  cd
29-5                                  1  cd
mac                                   1  np
1,119                                 1  cd
402                                   1  cd
calmest                               1  jjt
callan                                1  np
tabb                                  1  np
33-man                                1  jj
roadblock                             1  nn
conforms                              1  vbz
aforementioned                        1  jj
trustees'                             1  nns$
insofar                               1  rb
jeopardizing                          1  vbg
desiring                              1  vbg
riding                                1  vbg
waddell                               1  np-tl
1688                                  1  cd-tl
knoll                                 1  nn-tl
cir.                                  1  nn-tl
hammons                               1  np
rain-slick                            1  jj
olvey                                 1  np
963                                   1  cd-tl
ponce                                 1  np-tl
coleman                               1  np
704                                   1  cd-tl
lacerations                           1  nns
bruises                               1  nns
first-run                             1  nn
identically                           1  rb
sporadic                              1  jj
inability                             1  nn
indifference                          1  nn
nonviolent                            1  jj
buckhead                              1  np
357                                   1  cd-tl
venable                               1  np-tl
s                                     1  nn
w                                     1  nn
pittsboro                             1  np
bessie                                1  np
bloom                                 1  np
gettysburg                            1  np
101b                                  1  cd-tl
oakland                               1  np-tl
blanchard's                           1  np$-tl
hearn                                 1  np
officiating                           1  vbg
emma                                  1  np
odom                                  1  np
fergeson                              1  np
tenn.                                 1  np
stoll                                 1  np
s.c.                                  1  np
wansley                               1  np
24-year-old                           1  nn
assaulting                            1  vbg
subdue                                1  vb
patrolmen                             1  nns
1671                                  1  cd-tl
nakoma                                1  np-tl
511                                   1  cd-tl
11-month-old                          1  jj
ripped                                1  vbd
latch                                 1  nn
subdued                               1  vbn
battery                               1  nn
resisting                             1  vbg
disturbance                           1  nn
cursing                               1  vbg
disability                            1  nn
employments                           1  nns
intensifying                          1  vbg
fast-spreading                        1  jj
pest                                  1  nn
132,000                               1  cd
infested                              1  vbn
entomologist                          1  nn
low-flying                            1  jj
granular-type                         1  jj
heptachlor                            1  nn
37,000                                1  cd
65,000                                1  cd
bibb                                  1  np
37,679                                1  cd
treating                              1  vbg
20,000                                1  cd
bleckley                              1  np
tift                                  1  np
infest                                1  vb
livestock                             1  nn
allergic                              1  jj
venom                                 1  nn
north-bound                           1  jj
computers                             1  nns
intersection                          1  nn
daylight                              1  nn
cain                                  1  np-tl
piedmont                              1  np-tl
junction                              1  nn
expressways                           1  nns-tl
crashes                               1  nns
4-year-old                            1  jj
maynor                                1  np
troopers                              1  nns
bursts                                1  vbz-hl
overturned                            1  vbd
skidding                              1  vbg
tractor-trailer                       1  nn
bester                                1  np
hammett                               1  np
rte.                                  1  nn-tl
herrington                            1  np
brooke                                1  np
kerr's                                1  np$
daisies                               1  nns
stamped                               1  vbn
arty                                  1  jj
adopts                                1  vbz
fledgling                             1  nn
hires                                 1  vbz
hero's                                1  nn$
sweetheart-secretary                  1  nn
heffernan                             1  np
edgy                                  1  jj
head-in-the-clouds                    1  jj
flawless                              1  jj
providence's                          1  np$
century-fox                           1  np-tl
dizzy                                 1  jj
coletta                               1  np
angriest                              1  jjt
chap                                  1  nn
embittered                            1  vbn
scoundrel                             1  nn
finger-tips                           1  nns
eroded                                1  vbn
irritations                           1  nns
unsuccessful                          1  jj
lingers                               1  vbz
overcomes                             1  vbz
awfully                               1  ql
talky                                 1  jj
groom                                 1  np
proficient                            1  jj
shriek                                1  nn
explode                               1  vb
lawless                               1  np
belligerent                           1  jj
spider                                1  nn
scratchy                              1  jj
hildy                                 1  np
weissman                              1  np
projection                            1  nn
christopher                           1  np
hewett                                1  np
conlow                                1  np
matlowsky                             1  np
shelley                               1  np
tantalizingly                         1  rb
sifted                                1  vbd
ambling                               1  vbg
whispering                            1  vbg
berman's                              1  np$
outdo                                 1  vb
hamming                               1  nn
charley's                             1  np$
voluminous                            1  jj
gowns                                 1  nns
ashmolean                             1  jj-tl
sultry                                1  jj
fantasia                              1  nn
monologist                            1  nn
sparrow-size                          1  nn
suitably                              1  ql
perky                                 1  jj
melisande                             1  np
congdon                               1  np
knill's                               1  np$
tahse's                               1  np$
weidman                               1  np
bock                                  1  np
harnick                               1  np
gennaro                               1  np
eckart                                1  np
pulitzer                              1  np-tl
evoke                                 1  vb
lance                                 1  nn
bosley                                1  np
amazed                                1  vbn
distraught                            1  jj
chieftain                             1  nn
lipson                                1  np
shirley's                             1  np$
hurrying                              1  vbg
jen                                   1  np
thea                                  1  np
zeme                                  1  np-tl
dora                                  1  np
floyd                                 1  np
cop                                   1  nn
promoted                              1  vbn
novelties                             1  nns
fugual                                1  jj
poker                                 1  nn-tl
tuneful                               1  jj
ward-heelers                          1  nns
tin                                   1  nn-tl
floyd's                               1  np$
penthouse                             1  nn
frolic                                1  nn
hackneyed                             1  jj
routines                              1  nns
laguardia's                           1  np$
multi-lingual                         1  jj
folk-dance                            1  nn
tahse                                 1  np
stager                                1  nn
road-show                             1  nn
obtrusiveness                         1  nn
wondered                              1  vbn
distraction                           1  nn
hereabouts                            1  rb
loew's                                1  np$-tl
mgm                                   1  nn
pasternak                             1  np
levin                                 1  np
screenplay                            1  nn
upright                               1  jj
yalies                                1  nps
disqualify                            1  vb
objectivity                           1  nn
collegians                            1  nns
vexes                                 1  vbz
healthily                             1  rb
profess                               1  vb
whipping                              1  vbg
hilariously                           1  rb
impromptu                             1  jj
plunge                                1  nn
nightclub                             1  nn
mermaid                               1  nn
dolores                               1  np
believable                            1  jj
paula                                 1  np
prentiss'                             1  np$
unstilted                             1  jj
hutton                                1  np
gorshin                               1  np
yvette                                1  np
mimieux                               1  np
despoilers                            1  nns
fracases                              1  nns
biting                                1  vbg
springtime                            1  nn
enrique                               1  np
engagements                           1  nns
symphony's                            1  nn$
sinfonica                             1  fw-jj-tl
siciliana                             1  fw-jj-tl
palermo                               1  np
five-month                            1  jj
orchestre                             1  fw-nn-tl
philharmonique                        1  fw-jj-tl
bordeau                               1  np
cecilia                               1  np
jorda's                               1  np$
conductors                            1  nns
renowned                              1  jj
violinists                            1  nns
yehudi                                1  np
menuhin                               1  np
isaac                                 1  np
stern                                 1  np
ruggiero                              1  np
ricci                                 1  np
abel                                  1  np
fleisher                              1  np
slenczynka                            1  np
petipa-tschaikowsky                   1  np-tl
incomparably                          1  rb
anytime                               1  rb
vulgar                                1  jj
infantile                             1  jj
reactionary                           1  jj
stultifying                           1  vbg
boobify                               1  vb
undistinguished                       1  jj
shapeless                             1  jj
assemblage                            1  nn
self-plagiarisms                      1  nns
kirov's                               1  np$
utterly                               1  ql
captivating                           1  jj
enchantment                           1  nn
ova                                   1  nn-nc
eva                                   1  nn-nc
aya                                   1  nn-nc
winners                               1  nns
omsk                                  1  np
pinsk                                 1  np
stalingr                              1  np
oops                                  1  uh
discover                              1  vb
crowning                              1  vbg
friendliness                          1  nn
oh-the-pain-of-it                     1  uh
impoverished                          1  jj
filial                                1  jj
suavity                               1  nn
lightness                             1  nn
sparkle                               1  nn
sizova                                1  np
bluebird                              1  np
virile                                1  jj
nijinsky                              1  np
vladilen                              1  np
semenov                               1  np
danseur                               1  nn
konstantin                            1  np
shatilov                              1  np
fairy                                 1  nn-tl
virsaladze                            1  np
muted                                 1  vbn
pastel-like                           1  jj
evegeni                               1  np
dubovskoi                             1  np
concertmaster                         1  nn
lumia                                 1  np
sustaining                            1  vbg
ten-concert                           1  jj
$16                                   1  nns
erroneously                           1  rb
1044                                  1  cd-tl
busied                                1  vbd
798                                   1  cd-tl
sponsoring                            1  vbg
12th                                  1  od
franciscans                           1  nps-tl
discarded                             1  vbn
off-duty                              1  jj
firehouses                            1  nns
stonestown                            1  np
warehouse                             1  nn
198                                   1  cd-tl
676                                   1  cd-tl
parent's                              1  nn$
cellist                               1  nn
pablo                                 1  np
casals                                1  np
charmed                               1  vbd
rehearsal                             1  nn
munoz                                 1  np
spanish-born                          1  np
naughty                               1  jj
three-hour                            1  jj
harmless                              1  jj
naughtier                             1  jjr
bored                                 1  vbn
brutality                             1  nn
sadism                                1  nn
ozzie                                 1  np
decadence                             1  nn
nymphomaniacs                         1  nns
private-eye                           1  nn
unknowns                              1  nns
lex                                   1  np
anita                                 1  np
ekberg                                1  np
herridge                              1  np
seaside                               1  nn
silent                                1  jj
boasted                               1  vbd
tease                                 1  nn
drunk                                 1  nn
knees                                 1  nns
feathers                              1  nns
frigid                                1  jj
fairies                               1  nns
four-letter                           1  jj
shocker                               1  nn
dud                                   1  nn
detract                               1  vb
chronicle's                           1  nn$-tl
paine                                 1  np
knickerbocker                         1  np
enthralling                           1  jj
heartbreaking                         1  jj
unlinked                              1  vbn
moderates                             1  vbz
9:30                                  1  cd
ventilates                            1  vbz
10:30                                 1  cd
kqed                                  1  nn
capello                               1  fw-nn-tl
musica                                1  fw-nn-tl
exploring                             1  vbg
mandarin                              1  np
cantonese                             1  np
chiuchow                              1  np
briskly                               1  rb
racy                                  1  jj
cap                                   1  nn
enriching                             1  vbg
debonair                              1  jj
fins                                  1  nns
wind-and-water                        1  nn
oases                                 1  nns
gulped                                1  vbd
gallons                               1  nns
wiping                                1  vbg
headlights                            1  nns
chrome                                1  nn
ok                                    1  jj
gloomily                              1  rb
smallest                              1  jjt
mileage                               1  nn
unhappily                             1  rb
clobbers                              1  vbz
crunch                                1  uh
$1.80                                 1  nns
fair-weather                          1  nn
finned                                1  vbd
fore                                  1  rb
aft                                   1  rb
tipped                                1  vbd
tuck                                  1  vb
cadillacs                             1  nps
doorman                               1  nn
outwardly                             1  rb
warships                              1  nns
wracked                               1  vbn
takeover                              1  nn
responsive                            1  jj
vive                                  1  fw-vb
juan                                  1  np
bosch                                 1  np
balaguer's                            1  np$
eradicate                             1  vb
pro-trujillo                          1  jj
pro-castro                            1  jj
secession                             1  nn
breach                                1  nn
reuther                               1  np
squabbling                            1  nn
conjecture                            1  nn
craft-industrial                      1  jj
labor's                               1  nn$
feuds                                 1  nns
bastion                               1  nn
freeman's                             1  np$
soviet's                              1  np$
farmer's                              1  nn$
over-produce                          1  vb
growers                               1  nns
outsmarted                            1  vbd
shortening                            1  vbg
rows                                  1  nns
pouring                               1  vbg
swindling                             1  vbg
predictable                           1  jj
revitalize                            1  vb
layers                                1  nns
wedded                                1  vbn
fearful                               1  jj
restore                               1  vb
jackson's                             1  np$
self-criticism                        1  nn
forecasting                           1  vbg
hazardous                             1  jj
prognosticator                        1  nn
fedora                                1  nn
basing                                1  vbg
stride                                1  nn
keel                                  1  nn
blamed                                1  vbn
cambodia's                            1  np$
harboring                             1  vbg
marauders                             1  nns
sihanouk                              1  np
concedes                              1  vbz
posture                               1  nn
sihanouk's                            1  np$
prognostication                       1  nn
sighted                               1  vbn-hl
pacemaker                             1  nn
forecasters                           1  nns
pioneered                             1  vbn
sliding                               1  vbg
january's                             1  np$
corroborating                         1  vbg
interrupted                           1  vbn
jobless                               1  jj
8,100                                 1  cd
builder's                             1  nn$
parceled                              1  vbn
presses                               1  vbz
spaces                                1  nns
battlefront                           1  nn
unimportant                           1  jj
udall                                 1  np
warns                                 1  vbz
shorelines                            1  nns
provincetown                          1  np
sanctuary's                           1  nn$
snowy                                 1  jj
cattle                                1  nns
egrets                                1  nns
black-crowned                         1  jj
nest                                  1  vb
desirability                          1  nn
conserving                            1  vbg
applicants                            1  nns
corpsman                              1  nn
arduous                               1  jj
16-hour                               1  jj
nil                                   1  nn
inexact                               1  jj
mysteries                             1  nns
extrapolated                          1  vbn
phenomena                             1  nns
king's                                1  nn$-tl
functioned                            1  vbd
relativistic                          1  jj
relativity                            1  nn
calculated                            1  vbn
thinly                                1  rb
contraction                           1  nn
billions                              1  nns
whistling                             1  vbg
expansion-contraction                 1  nn
steady-state                          1  nn
zooming                               1  vbg
gaps                                  1  nns
contends                              1  vbz
immeasurable                          1  jj
imagines                              1  vbz
charts                                1  nns
non-scientist                         1  nn
jargon                                1  nn
satellite                             1  nn
optical                               1  jj
ultra-violet                          1  jj
rays                                  1  nns
hinders                               1  vbz
telescope                             1  nn
unclouded                             1  jj
gases                                 1  nns
bolstering                            1  vbg
solace                                1  nn
long-sought                           1  jj
peer                                  1  vb
rationally                            1  ql
defensible                            1  jj
cosmos                                1  nn
brand-new                             1  jj
trappings                             1  nns
bryant                                1  np
jilted                                1  vbn
proclaims                             1  vbz
emancipation                          1  nn
boorish                               1  jj
happenings                            1  nns
city-bred                             1  jj
intellectuals                         1  nns
clods                                 1  nns
cloddishness                          1  nn
antagonistic                          1  jj
illuminating                          1  jj
aesthetics                            1  nn
dwell                                 1  vb
doltish                               1  jj
twilight                              1  nn
serfs                                 1  nns
dedicates                             1  vbz
untidiness                            1  nn
theatergoer                           1  nn
gilded                                1  vbn
heap                                  1  nn
messy                                 1  jj
washing                               1  nn
redundancy                            1  nn
appreciating                          1  vbg
sustained                             1  vbn
declamatory                           1  jj
convincing                            1  jj
squire's                              1  np$
brooked                               1  vbd
hifalutin'                            1  jj
disrupted                             1  vbd
skating                               1  vbg-tl
belvedere                             1  np
bravely                               1  rb
resourcefully                         1  rb
mingled                               1  vbd
overflowed                            1  vbd
lawns                                 1  nns
barbed                                1  vbn
sallies                               1  nns
inured                                1  vbn
chuckles                              1  nns
simple-minded                         1  jj
dogberry                              1  np
verges                                1  np
responds                              1  vbz
vivacity                              1  nn
masquers'                             1  nns$
leonato's                             1  np$
motif                                 1  nn
arragon                               1  np-tl
insipid                               1  jj
claudio                               1  np
umbrellas                             1  nns
depart                                1  vb
grieving                              1  vbg
leonato                               1  np
friar                                 1  nn-tl
loudspeaker                           1  nn
fortified                             1  vbn
huddled                               1  vbd
raining                               1  vbg
nan                                   1  np
nostradamus                           1  np
foreseen                              1  vbn
wept                                  1  vbn
yea                                   1  rb
weeping                               1  nn
downpour                              1  nn
preparing                             1  vbg
devoting                              1  vbg
balcony                               1  nn
trapdoors                             1  nns
attractively                          1  rb
lighthearted                          1  jj
garner                                1  vb
three-front                           1  jj
afterward                             1  rb
tennessee's                           1  np$
understatement                        1  nn
undermining                           1  vbg
offensives                            1  nns
blunt                                 1  jj
consulate                             1  nn
87                                    1  cd
120                                   1  cd
foreign-policy                        1  nn
self-respect                          1  nn
breakoff                              1  nn
secretary-designate                   1  nn-tl
battalions                            1  nns
pentagon's                            1  nn$-tl
precautionary                         1  jj
readiness                             1  nn
carriers                              1  nns
lexington                             1  np
bennington                            1  np
troopships                            1  nns
u.s.'s                                1  np$
okinawa                               1  np
116                                   1  cd-tl
exaggeration                          1  nn
cautious                              1  jj
cold-war                              1  nn
chaotic                               1  jj
mountainous                           1  jj
battleground                          1  nn
indo-china                            1  np
predictably                           1  rb
specimen                              1  nn
calamity                              1  nn
mourn                                 1  vb
parading                              1  vbg
ilyushin                              1  np
transports                            1  nns
acknowledgment                        1  nn
war's                                 1  nn$
ominous                               1  jj
gore's                                1  np$
confront                              1  vb
sluice                                1  nn
gates                                 1  nns
coyly                                 1  rb
masquerades                           1  vbz
unspoken                              1  jj
menaced                               1  vbn
bottleneck                            1  nn
counting                              1  vbg
noses                                 1  nns
conservative-liberal                  1  jj
14-term                               1  jj
meyers                                1  np
calmer                                1  jjr-nc
caucusing                             1  vbg
seniority                             1  nn
godliness                             1  nn
gangling                              1  jj
choppy                                1  jj
gait                                  1  nn
internationalist                      1  jj
diehard                               1  jj
segregationist                        1  nn
anti-negro                            1  jj
6-6                                   1  cd
far-out                               1  jj
democratic-sponsored                  1  jj
rayburn-johnson                       1  np
pretext                               1  nn
colmer's                              1  np$
ouster                                1  nn
anti-kennedy                          1  jj
reprisals                             1  nns
unheard                               1  jj
prodigal                              1  jj
dixiecrats                            1  nps
unscathed                             1  jj
campaigned                            1  vbd
anti-colmer                           1  jj
reprisal                              1  nn
huddling                              1  vbg
southerner                            1  nn-tl
flatly                                1  rb
mister                                1  np
inferior                              1  jj
unconscionable                        1  jj
smith-colmer                          1  np
dreadful                              1  jj
excluding                             1  vbg
pork-barrel                           1  nn
pork                                  1  nn
vinson                                1  np
raged                                 1  vbd
cloakrooms                            1  nns
caucuses                              1  nns
numbered                              1  vbd
260-member                            1  jj
purged                                1  vbn
mississippians                        1  nps
maverick                              1  jj
applying                              1  vbg
whiplash                              1  nn
loomed                                1  vbd
specter                               1  nn
costlier                              1  jjr
chairmanships                         1  nns
truncated                             1  vbn
unworkable                            1  jj
arkansas'                             1  np$
coolheaded                            1  jj
face-saving                           1  jj
liberal-conservative                  1  jj
forma                                 1  nn
guide's                               1  nn$
restrict                              1  vb
legislation-delaying                  1  jj
filibusters                           1  nns
wide-ranging                          1  jj
bipartisan                            1  jj
minnesota's                           1  np$
massachusetts'                        1  np$
leverett                              1  np
saltonstall                           1  np
phalanx                               1  nn
notorious                             1  jj
hard-to-get                           1  jj
upped                                 1  vbd
ante                                  1  nn
cloture                               1  nn
congresses                            1  nps
choke                                 1  vb
convening                             1  nn
officiate                             1  vb
electoral                             1  jj-tl
momentum                              1  nn
beryl                                 1  np
palo                                  1  np
gaither                               1  np-tl
gauntlet                              1  nn
conferees                             1  nns
cyclical                              1  jj
neo-stagnationist                     1  nn
pessimism                             1  nn
1959-60                               1  cd
stimulation                           1  nn
inflation                             1  nn
aggressively                          1  rb
tighten                               1  vb
monetary                              1  jj
1958-60                               1  cd
inappropriate                         1  jj
retrenching                           1  vbg
blackmail                             1  nn
liable                                1  jj
erasing                               1  vbg
analysts                              1  nns
675                                   1  cd
sidelines                             1  nns
pivotal                               1  jj
snapback                              1  nn
streeters                             1  nps
whopping                              1  jj
8%                                    1  nn
paving                                1  vbg
7.19                                  1  cd
687.87                                1  cd
1,253                                 1  cd
695                                   1  cd
354                                   1  cd
highs                                 1  nns
lows                                  1  nns
dipped                                1  vbd
3.28                                  1  cd
3.98                                  1  cd
envisioned                            1  vbn
1970s                                 1  nns
howell                                1  np-tl
industrialist                         1  nn
unconventional                        1  jj
1970                                  1  cd
40%                                   1  nn
marketed                              1  vbn
log-jam                               1  nn
geometrically                         1  rb
equalizers                            1  nns
dares                                 1  vbz
all-automatic                         1  jj
phelan                                1  np
stockholder                           1  nn
securities                            1  nns
$120                                  1  nns
gulf's                                1  nn$-tl
2,700,877                             1  cd
923,076                               1  cd
4-7                                   1  8
4-1                                   1  2%
subordinated                          1  vbn
1991                                  1  cd
$70                                   1  nns
1971                                  1  cd
1976                                  1  cd
$80                                   1  nns
1981                                  1  cd
$90                                   1  nns
dwindled                              1  vbd
1.23                                  1  cd
1.58                                  1  cd
2-3                                   1  4
teleprompter                          1  np
foil                                  1  nn-tl
kawecki                               1  np-tl
2-1                                   1  2
custodian                             1  nn
television-electronics                1  nn-tl
irate                                 1  jj
60-day                                1  jj
shareholder                           1  nn
queries                               1  nns
