Tag          Kelime                          P(Kelime, Tag)
nns$         months'                            0.0298507
nns$         owners'                            0.0149254
nns$         pastors'                           0.0149254
nns$         people's                           0.0746269
nns$         players'                           0.0149254
nns$         prisoners'                         0.0149254
nns$         secretaries'                       0.0149254
nns$         singers'                           0.0149254
nns$         soloists'                          0.0149254
nns$         students'                          0.0149254
nns$         taxpayers'                         0.0298507
nns$         teammates'                         0.0149254
nns$         teams'                             0.0149254
nns$         tourists'                          0.0149254
nns$         trustees'                          0.0149254
nns$         veterans'                          0.0149254
nns$         women's                            0.0746269
nns$         workers'                           0.0298507
nns$         writers'                           0.0298507
nns$         years'                             0.0298507
nns$-hl      dealers'                           0.5
nns$-hl      idols'                             0.5
nns$-tl      bombers'                           0.0344828
nns$-tl      braves'                            0.0344828
nns$-tl      bros.'                             0.0344828
nns$-tl      employers'                         0.0344828
nns$-tl      falcons'                           0.0344828
nns$-tl      giants'                            0.0689655
nns$-tl      grizzlies'                         0.0344828
nns$-tl      men's                              0.0344828
nns$-tl      nations'                           0.103448
nns$-tl      officers'                          0.0344828
nns$-tl      people's                           0.0344828
nns$-tl      pirates'                           0.0344828
nns$-tl      princes'                           0.0344828
nns$-tl      raiders'                           0.0344828
nns$-tl      rogues'                            0.0344828
nns$-tl      states'                            0.103448
nns$-tl      students'                          0.0344828
nns$-tl      women's                            0.206897
nns$-tl      writers'                           0.0344828
nns-hl       $12,500                            0.00675676
nns-hl       $14                                0.00675676
nns-hl       $37                                0.00675676
nns-hl       a135                               0.00675676
nns-hl       addresses                          0.00675676
nns-hl       allies                             0.00675676
nns-hl       apartments                         0.00675676
nns-hl       arms                               0.0135135
nns-hl       aspects                            0.00675676
nns-hl       baths                              0.00675676
nns-hl       bids                               0.00675676
nns-hl       bingles                            0.00675676
nns-hl       bobbles                            0.00675676
nns-hl       bonds                              0.00675676
nns-hl       books                              0.00675676
nns-hl       brothers                           0.00675676
nns-hl       buildings                          0.00675676
nns-hl       cafes                              0.00675676
nns-hl       cases                              0.00675676
nns-hl       causes                             0.0135135
nns-hl       centers                            0.00675676
nns-hl       ceremonies                         0.00675676
nns-hl       champions                          0.00675676
nns-hl       charges                            0.00675676
nns-hl       checks                             0.00675676
nns-hl       children                           0.00675676
nns-hl       comments                           0.00675676
nns-hl       contributions                      0.00675676
nns-hl       costs                              0.00675676
nns-hl       creations                          0.00675676
nns-hl       creditors                          0.00675676
nns-hl       dances                             0.00675676
nns-hl       days                               0.00675676
nns-hl       decisions                          0.00675676
nns-hl       deputies                           0.00675676
nns-hl       dictators                          0.00675676
nns-hl       discrepancies                      0.00675676
nns-hl       districts                          0.00675676
nns-hl       doctors                            0.00675676
nns-hl       dollars                            0.00675676
nns-hl       domes                              0.00675676
nns-hl       doors                              0.00675676
nns-hl       drinks                             0.00675676
nns-hl       dunes                              0.00675676
nns-hl       effects                            0.00675676
nns-hl       errors                             0.00675676
nns-hl       ethics                             0.00675676
nns-hl       faces                              0.00675676
nns-hl       features                           0.00675676
nns-hl       fees                               0.00675676
nns-hl       festivals                          0.00675676
nns-hl       flames                             0.00675676
nns-hl       footnotes                          0.00675676
nns-hl       funds                              0.0135135
nns-hl       gains                              0.00675676
nns-hl       girls                              0.00675676
nns-hl       groups                             0.00675676
nns-hl       guests                             0.00675676
nns-hl       hands                              0.00675676
nns-hl       hills                              0.00675676
nns-hl       hopes                              0.00675676
nns-hl       idols                              0.00675676
nns-hl       improvements                       0.00675676
nns-hl       jobs                               0.00675676
nns-hl       lakes                              0.00675676
nns-hl       lay-offs                           0.00675676
nns-hl       leaders                            0.00675676
nns-hl       legislators                        0.00675676
nns-hl       listings                           0.00675676
nns-hl       meditations                        0.00675676
nns-hl       men                                0.0135135
nns-hl       moments                            0.00675676
nns-hl       movies                             0.00675676
nns-hl       nightclubs                         0.00675676
nns-hl       obligations                        0.00675676
nns-hl       offenses                           0.00675676
nns-hl       others                             0.0135135
nns-hl       outlays                            0.00675676
nns-hl       owners                             0.00675676
nns-hl       parks                              0.00675676
nns-hl       payments                           0.00675676
nns-hl       peddlers                           0.00675676
nns-hl       people                             0.027027
nns-hl       pets                               0.00675676
nns-hl       pills                              0.00675676
nns-hl       pitchers                           0.00675676
nns-hl       places                             0.00675676
nns-hl       plans                              0.00675676
nns-hl       police                             0.0135135
nns-hl       policies                           0.00675676
nns-hl       pools                              0.00675676
nns-hl       pounds                             0.00675676
nns-hl       pressures                          0.00675676
nns-hl       principles                         0.00675676
nns-hl       push-ups                           0.00675676
nns-hl       puzzles                            0.00675676
nns-hl       races                              0.00675676
nns-hl       records                            0.00675676
nns-hl       relations                          0.00675676
nns-hl       results                            0.00675676
nns-hl       roommates                          0.00675676
nns-hl       rules                              0.00675676
nns-hl       sacrifices                         0.00675676
nns-hl       schools                            0.00675676
nns-hl       seas                               0.00675676
nns-hl       seats                              0.00675676
nns-hl       senators                           0.00675676
nns-hl       services                           0.0135135
nns-hl       shelters                           0.0135135
nns-hl       shortcuts                          0.00675676
nns-hl       shorts                             0.00675676
nns-hl       spots                              0.00675676
nns-hl       stand-ups                          0.00675676
nns-hl       stars                              0.00675676
nns-hl       states                             0.00675676
nns-hl       stocks                             0.00675676
nns-hl       strings                            0.00675676
nns-hl       students                           0.00675676
nns-hl       subpoenas                          0.00675676
nns-hl       subsidies                          0.00675676
nns-hl       tactics                            0.00675676
nns-hl       teamsters                          0.00675676
nns-hl       tests                              0.0135135
nns-hl       thanks                             0.00675676
nns-hl       trucks                             0.00675676
nns-hl       undergraduates                     0.00675676
nns-hl       unoriginals                        0.00675676
nns-hl       vehicles                           0.00675676
nns-hl       views                              0.0135135
nns-hl       voices                             0.00675676
nns-hl       wards                              0.00675676
nns-hl       workers                            0.00675676
nns-hl       works                              0.00675676
nns-hl       wrongs                             0.00675676
nns-hl       years                              0.00675676
nns-hl       youngsters                         0.0135135
nns-tl       acres                              0.00323102
nns-tl       adventures                         0.00323102
nns-tl       affairs                            0.00646204
nns-tl       agencies                           0.00161551
nns-tl       airways                            0.00161551
nns-tl       allies                             0.00484653
nns-tl       angels                             0.00484653
nns-tl       apartments                         0.00161551
nns-tl       appeals                            0.00484653
nns-tl       appropriations                     0.00161551
nns-tl       archives                           0.00161551
nns-tl       arms                               0.00161551
nns-tl       arts                               0.0290792
nns-tl       assemblies                         0.00807754
nns-tl       associations                       0.00161551
nns-tl       athletics                          0.00323102
nns-tl       bagatelles                         0.00161551
nns-tl       bangles                            0.00161551
nns-tl       bankers                            0.00484653
nns-tl       banks                              0.00161551
nns-tl       baubles                            0.00161551
nns-tl       beads                              0.00161551
nns-tl       bears                              0.0145396
nns-tl       birds                              0.0145396
nns-tl       blues                              0.0242326
nns-tl       boys                               0.00807754
nns-tl       braves                             0.00484653
nns-tl       broadcasters                       0.00323102
nns-tl       broncos                            0.00161551
nns-tl       broncs                             0.00323102
nns-tl       brothers                           0.00161551
nns-tl       builders                           0.00323102
nns-tl       cardinals                          0.00646204
nns-tl       cards                              0.00161551
nns-tl       carols                             0.00161551
nns-tl       carrots                            0.00161551
nns-tl       changes                            0.00161551
nns-tl       children                           0.00646204
nns-tl       churches                           0.00969305
nns-tl       citizens                           0.00807754
nns-tl       clerks                             0.00161551
nns-tl       clubs                              0.00323102
nns-tl       commissioners                      0.00323102
nns-tl       committees                         0.00323102
nns-tl       communications                     0.00161551
nns-tl       communists                         0.0468498
nns-tl       concerts                           0.00646204
nns-tl       corporations                       0.00161551
nns-tl       counties                           0.00161551
nns-tl       countrymen                         0.00161551
nns-tl       cranes                             0.00161551
nns-tl       dancers                            0.00161551
nns-tl       dances                             0.00161551
nns-tl       days                               0.00323102
nns-tl       decorators                         0.00161551
nns-tl       delegates                          0.00323102
nns-tl       doctors                            0.00161551
nns-tl       drs.                               0.00161551
nns-tl       dukes                              0.00323102
nns-tl       eagles                             0.00807754
nns-tl       ear-muffs                          0.00161551
nns-tl       editions                           0.00161551
nns-tl       elks                               0.00161551
nns-tl       examiners                          0.00161551
nns-tl       executives                         0.00323102
nns-tl       expressways                        0.00161551
nns-tl       falls                              0.00807754
nns-tl       fellowships                        0.00161551
nns-tl       fighters                           0.00323102
nns-tl       flames                             0.00161551
nns-tl       flowers                            0.00323102
nns-tl       foods                              0.0113086
nns-tl       friends                            0.0129241
nns-tl       gables                             0.00323102
nns-tl       gaieties                           0.00161551
nns-tl       games                              0.00323102
nns-tl       gardens                            0.00323102
nns-tl       gazettes                           0.00161551
nns-tl       giants                             0.0145396
nns-tl       girls                              0.00323102
nns-tl       givers                             0.00161551
nns-tl       gods                               0.00323102
nns-tl       golfers                            0.00161551
nns-tl       governors                          0.00161551
nns-tl       grounds                            0.00323102
nns-tl       hatters                            0.00161551
nns-tl       hearts                             0.00323102
nns-tl       heights                            0.00323102
nns-tl       highlands                          0.00161551
nns-tl       highways                           0.00161551
nns-tl       hills                              0.0129241
nns-tl       homeowners                         0.00161551
nns-tl       industries                         0.00161551
nns-tl       inmates                            0.00161551
nns-tl       inspections                        0.00161551
nns-tl       investors                          0.00161551
nns-tl       islands                            0.00323102
nns-tl       isles                              0.00484653
nns-tl       kings                              0.00807754
nns-tl       knights                            0.00161551
nns-tl       laboratories                       0.00161551
nns-tl       lands                              0.00161551
nns-tl       leaguers                           0.00323102
nns-tl       legislatures                       0.00161551
nns-tl       letters                            0.00161551
nns-tl       liberals                           0.00161551
nns-tl       licenses                           0.00161551
nns-tl       longhorns                          0.00646204
nns-tl       machinists                         0.00161551
nns-tl       majesties                          0.00161551
nns-tl       marines                            0.00161551
nns-tl       masterpieces                       0.00161551
nns-tl       masters                            0.0161551
nns-tl       meadows                            0.00161551
nns-tl       means                              0.00161551
nns-tl       members                            0.00161551
nns-tl       memorials                          0.00161551
nns-tl       men                                0.00161551
nns-tl       messengers                         0.00161551
nns-tl       midwesterners                      0.00161551
nns-tl       ministers                          0.00323102
nns-tl       minutes                            0.00161551
nns-tl       misses                             0.00161551
nns-tl       missiles                           0.00161551
nns-tl       moods                              0.00161551
nns-tl       motors                             0.00161551
nns-tl       nations                            0.0371567
nns-tl       nights                             0.00161551
nns-tl       operations                         0.00161551
nns-tl       organizations                      0.00161551
nns-tl       orioles                            0.00161551
nns-tl       owls                               0.00161551
nns-tl       packs                              0.00161551
nns-tl       parks                              0.00323102
nns-tl       people                             0.00646204
nns-tl       physicians                         0.00161551
nns-tl       pianos                             0.00161551
nns-tl       pirates                            0.0113086
nns-tl       plains                             0.0129241
nns-tl       players                            0.00161551
nns-tl       playhouses                         0.00161551
nns-tl       pleas                              0.00161551
nns-tl       police                             0.0129241
nns-tl       policemen                          0.00161551
nns-tl       pp.                                0.00161551
nns-tl       preludes                           0.00161551
nns-tl       presidents                         0.00484653
nns-tl       princes                            0.00161551
nns-tl       prisoners                          0.00161551
nns-tl       productions                        0.00161551
nns-tl       professors                         0.00323102
nns-tl       projects                           0.00323102
nns-tl       publications                       0.00161551
nns-tl       questions                          0.00161551
nns-tl       railroads                          0.00161551
nns-tl       records                            0.00323102
nns-tl       reds                               0.00323102
nns-tl       relations                          0.00807754
nns-tl       representatives                    0.00484653
nns-tl       reps.                              0.00323102
nns-tl       rhythms                            0.00161551
nns-tl       riders                             0.00323102
nns-tl       rights                             0.00484653
nns-tl       roads                              0.00484653
nns-tl       roots                              0.00969305
nns-tl       rules                              0.0145396
nns-tl       sales                              0.00161551
nns-tl       sands                              0.00161551
nns-tl       savings                            0.00646204
nns-tl       sciences                           0.00161551
nns-tl       scriptures                         0.00161551
nns-tl       senators                           0.00646204
nns-tl       sens.                              0.00161551
nns-tl       services                           0.00323102
nns-tl       shanties                           0.00161551
nns-tl       shepherds                          0.00161551
nns-tl       skies                              0.00484653
nns-tl       slums                              0.00161551
nns-tl       sonatas                            0.00484653
nns-tl       sons                               0.00323102
nns-tl       southerners                        0.00323102
nns-tl       spirits                            0.00323102
nns-tl       sports                             0.00646204
nns-tl       springs                            0.00646204
nns-tl       stars                              0.00323102
nns-tl       states                             0.166397
nns-tl       straits                            0.00161551
nns-tl       streets                            0.00484653
nns-tl       strings                            0.00323102
nns-tl       stripes                            0.00161551
nns-tl       students                           0.00161551
nns-tl       studies                            0.00484653
nns-tl       suburbs                            0.00161551
nns-tl       tales                              0.00161551
nns-tl       teachers                           0.00161551
nns-tl       teamsters                          0.00161551
nns-tl       telegraphers                       0.00161551
nns-tl       theories                           0.00161551
nns-tl       thirties                           0.00323102
nns-tl       times                              0.00484653
nns-tl       tolls                              0.00161551
nns-tl       toys                               0.00161551
nns-tl       travelers                          0.00161551
nns-tl       trends                             0.00161551
nns-tl       tricks                             0.00161551
nns-tl       trivia                             0.00161551
nns-tl       trustees                           0.00323102
nns-tl       twenties                           0.00323102
nns-tl       twins                              0.00484653
nns-tl       underwriters                       0.00161551
nns-tl       vagabonds                          0.00161551
nns-tl       variations                         0.00161551
nns-tl       veterans                           0.00484653
nns-tl       volumes                            0.00161551
nns-tl       voters                             0.00161551
nns-tl       watchers                           0.00161551
nns-tl       waxworks                           0.00161551
nns-tl       ways                               0.00161551
nns-tl       winds                              0.00323102
nns-tl       wings                              0.00161551
nns-tl       wives                              0.00646204
nns-tl       women                              0.00969305
nns-tl       workers                            0.00323102
nns-tl       works                              0.00323102
nns-tl       writers                            0.00161551
nns-tl       yards                              0.00161551
nns-tl-hl    nations                            0.142857
nns-tl-hl    states                             0.142857
nns-tl-hl    times                              0.714286
np           14-15                              9.9453e-05
np           :                                  9.9453e-05
np           a.                                 0.00626554
np           a.m.a.                             0.000198906
np           aaron                              9.9453e-05
np           abatuno                            9.9453e-05
np           abbott                             0.000397812
np           abe                                9.9453e-05
np           abel                               9.9453e-05
np           abell                              9.9453e-05
np           abner                              9.9453e-05
np           abra                               9.9453e-05
np           abraham                            9.9453e-05
np           accardo                            9.9453e-05
np           adair                              0.000198906
np           adam                               0.000198906
np           adamo                              9.9453e-05
np           adams                              0.000298359
np           adamson                            9.9453e-05
np           adcock                             9.9453e-05
np           adenauer                           0.000298359
np           adlai                              0.000397812
np           adnan                              9.9453e-05
np           affaire                            9.9453e-05
np           africa                             0.00119344
np           agee                               9.9453e-05
np           ahmad                              9.9453e-05
np           aikin                              9.9453e-05
np           ailey                              0.000198906
np           ainsley                            9.9453e-05
np           ainsworth                          9.9453e-05
np           al                                 0.00109398
np           ala.                               0.000596718
np           alabama                            0.000298359
np           alacrity                           0.000198906
np           alain                              9.9453e-05
np           alamogordo                         9.9453e-05
np           alan                               0.000198906
np           alba                               9.9453e-05
np           albacore                           9.9453e-05
np           albania                            0.000198906
np           albany                             0.000198906
np           albert                             0.000795624
np           alcorn                             9.9453e-05
np           alden                              0.000198906
np           aldo                               9.9453e-05
np           alex                               0.000198906
np           alexander                          0.000397812
np           alexandre                          0.000198906
np           alexandria                         9.9453e-05
np           alexei                             9.9453e-05
np           alexeyeva                          9.9453e-05
np           alfred                             0.00099453
np           alfredo                            9.9453e-05
np           alger                              9.9453e-05
np           algeria                            0.000198906
np           algerian                           9.9453e-05
np           alice                              0.000298359
np           alla                               0.000198906
np           allan                              0.000198906
np           allegretti                         9.9453e-05
np           allen                              0.000895077
np           allison                            9.9453e-05
np           alpha                              9.9453e-05
np           alpharetta                         9.9453e-05
np           alsop                              9.9453e-05
np           althaus                            9.9453e-05
np           althea                             9.9453e-05
np           alto                               9.9453e-05
np           alton                              9.9453e-05
np           alusik                             9.9453e-05
np           alva                               0.000198906
np           alvin                              0.000397812
np           alvise                             0.000198906
np           alwin                              9.9453e-05
np           america                            0.00159125
np           american                           0.000895077
np           americana                          9.9453e-05
np           amy                                0.000298359
np           anabel                             9.9453e-05
np           anatole                            9.9453e-05
np           anderlini                          9.9453e-05
np           anderson                           0.000696171
np           andover                            9.9453e-05
np           andrea                             0.000198906
np           andrew                             0.000497265
np           andy                               0.000198906
np           angeles                            0.00188961
np           angelico                           9.9453e-05
np           angelo                             0.000298359
np           angola                             0.000298359
np           anita                              9.9453e-05
np           ann                                0.000895077
np           anna                               0.000397812
np           annamorena                         9.9453e-05
np           annapolis                          0.000198906
np           anne                               0.000497265
np           anniston                           0.000198906
np           anouilh                            9.9453e-05
np           anselmo                            9.9453e-05
np           anson                              9.9453e-05
np           anthony                            0.000397812
np           antoine                            9.9453e-05
np           anton                              0.000198906
np           antone                             9.9453e-05
np           antonini                           9.9453e-05
np           antonio                            0.000198906
np           ap                                 0.000397812
np           apalachicola                       9.9453e-05
np           aparicio                           9.9453e-05
np           apocrypha                          9.9453e-05
np           apollo                             9.9453e-05
np           app                                9.9453e-05
np           april                              0.00198906
np           april-june                         9.9453e-05
np           arab                               9.9453e-05
np           aransas                            9.9453e-05
np           arata                              9.9453e-05
np           arf                                9.9453e-05
np           arger                              0.000298359
np           aristotle                          0.000198906
np           ariz.                              0.000298359
np           arizona                            9.9453e-05
np           arkansas                           0.000596718
np           arlene                             0.000198906
np           armageddon                         9.9453e-05
np           armond                             9.9453e-05
np           armour                             0.000198906
np           armstrong                          0.000298359
np           arnold                             0.00139234
np           arnold-foster                      9.9453e-05
np           arnolphe                           0.000497265
np           arrington                          9.9453e-05
np           arshinkoff                         9.9453e-05
np           art                                0.000497265
np           arthur                             0.000696171
np           artkino                            9.9453e-05
np           arundel                            0.000298359
np           arvey                              9.9453e-05
np           ashman                             9.9453e-05
np           asia                               0.000298359
np           aspencade                          9.9453e-05
np           atkinson                           9.9453e-05
np           atlanta                            0.00129289
np           atlee                              9.9453e-05
np           attilio                            9.9453e-05
np           attlee                             9.9453e-05
np           auburn                             9.9453e-05
np           audrey                             9.9453e-05
np           aug.                               0.00109398
np           august                             0.00139234
np           augusta                            0.000397812
np           augustin                           9.9453e-05
np           auntie                             9.9453e-05
np           aurora                             9.9453e-05
np           austin                             0.000895077
np           australia                          0.000198906
np           austria                            0.000198906
np           averell                            9.9453e-05
np           avery                              9.9453e-05
np           avon                               9.9453e-05
np           b.                                 0.00397812
np           babatunde                          9.9453e-05
np           babe                               0.000298359
np           bach                               9.9453e-05
np           bagley                             9.9453e-05
np           bailey                             9.9453e-05
np           baines                             9.9453e-05
np           baird                              0.000198906
np           bake-off                           0.000198906
np           baker                              0.000795624
np           bal                                9.9453e-05
np           balaguer                           0.000198906
np           bald                               9.9453e-05
np           baldrige                           0.000397812
np           balenciaga                         9.9453e-05
np           bales                              9.9453e-05
np           bali                               9.9453e-05
np           balkan                             9.9453e-05
np           ball                               0.000298359
np           baltimore                          0.000397812
np           baltimorean                        9.9453e-05
np           bam                                0.000397812
np           bandish                            9.9453e-05
np           bandon                             9.9453e-05
np           banfield                           9.9453e-05
np           bangkok                            9.9453e-05
np           baptist                            0.000198906
np           baptiste                           9.9453e-05
np           baraclough                         9.9453e-05
np           barataria                          9.9453e-05
np           barbara                            0.000397812
np           barber                             0.000397812
np           baringer                           9.9453e-05
np           barker                             0.000198906
np           barnaba                            9.9453e-05
np           barnard                            0.000298359
np           barnes                             0.000795624
np           barnet                             9.9453e-05
np           barnett                            0.00129289
np           barr                               9.9453e-05
np           barrett                            9.9453e-05
np           barry                              9.9453e-05
np           bartha                             9.9453e-05
np           basel                              9.9453e-05
np           bashir                             9.9453e-05
np           basie                              9.9453e-05
np           basil                              9.9453e-05
np           basler                             9.9453e-05
np           bassi                              9.9453e-05
np           bastianini                         9.9453e-05
np           batchelder                         9.9453e-05
np           bates                              0.000198906
np           batista                            0.000397812
np           bauer-ecsy                         9.9453e-05
np           bay-front                          9.9453e-05
np           bayaderka                          9.9453e-05
np           bayanihan                          9.9453e-05
np           baylor                             0.000198906
np           bea                                0.000198906
np           beadle                             0.000298359
np           beam                               9.9453e-05
np           beame                              0.000198906
np           beatie                             0.000397812
np           beatrice                           0.000596718
np           beaumont                           9.9453e-05
np           beaverton                          0.000596718
np           becket                             0.000198906
np           beebe                              9.9453e-05
np           beesemyers                         9.9453e-05
np           beethoven                          0.00099453
np           behan                              9.9453e-05
np           beiderbecke                        9.9453e-05
np           beirut                             9.9453e-05
np           beismortier                        9.9453e-05
np           bel-air                            9.9453e-05
np           belafonte                          9.9453e-05
np           belanger                           9.9453e-05
np           belgium                            9.9453e-05
np           bella                              0.000397812
np           belleville                         9.9453e-05
np           bellini                            0.000198906
np           bellows                            0.000497265
np           bellwood                           9.9453e-05
np           belvedere                          9.9453e-05
np           belvidere                          0.000397812
np           beman                              9.9453e-05
np           ben                                0.000497265
np           ben-gurion                         9.9453e-05
np           benedick                           0.000298359
np           benet                              9.9453e-05
np           benington                          0.000696171
np           benita                             9.9453e-05
np           benjamin                           0.000198906
np           bennington                         9.9453e-05
np           benson                             9.9453e-05
np           benzell                            9.9453e-05
np           berger                             0.000497265
np           berlin                             0.0031825
np           berlin-west                        9.9453e-05
np           berman                             0.000497265
np           bermuda                            0.000198906
np           bernard                            0.000497265
np           bernardine                         9.9453e-05
np           bernet                             9.9453e-05
np           bernhard                           9.9453e-05
np           bernie                             9.9453e-05
np           berniece                           9.9453e-05
np           bernini                            9.9453e-05
np           beronio                            9.9453e-05
np           berra                              0.000198906
np           berrellez                          9.9453e-05
np           berry                              0.000298359
np           bert                               9.9453e-05
np           berteros                           9.9453e-05
np           bertha                             9.9453e-05
np           bertoia                            9.9453e-05
np           berton                             9.9453e-05
np           bertorelli                         9.9453e-05
np           bertrand                           9.9453e-05
np           beryl                              9.9453e-05
np           bessie                             9.9453e-05
np           bester                             9.9453e-05
np           betancourt                         0.000198906
np           betsy                              9.9453e-05
np           beverly                            9.9453e-05
np           bevo                               0.000198906
np           bexar                              9.9453e-05
np           beyeler                            0.000198906
np           bg                                 9.9453e-05
np           bianco                             9.9453e-05
np           bibb                               9.9453e-05
np           bible                              0.00119344
np           bietnar                            9.9453e-05
np           big                                9.9453e-05
np           bill                               0.00238687
np           billie                             0.000198906
np           billiken                           9.9453e-05
np           billings                           9.9453e-05
np           billy                              0.000497265
np           bimini                             9.9453e-05
np           bird                               9.9453e-05
np           birdie                             9.9453e-05
np           birgit                             9.9453e-05
np           birmingham                         9.9453e-05
np           bishop                             0.000198906
np           bismarck                           9.9453e-05
np           bix                                9.9453e-05
np           blaber                             9.9453e-05
np           black                              0.000497265
np           blaine                             9.9453e-05
np           blakey                             0.000198906
np           blanchard                          0.000198906
np           blanche                            9.9453e-05
np           blanton                            9.9453e-05
np           blasingame                         0.000298359
np           bleckley                           9.9453e-05
np           blimp                              9.9453e-05
np           blomdahl                           0.000198906
np           bloom                              9.9453e-05
np           blossom                            9.9453e-05
np           bluebird                           9.9453e-05
np           blum                               0.000198906
np           blumberg                           9.9453e-05
np           blume                              9.9453e-05
np           blumenthal                         9.9453e-05
np           bo                                 9.9453e-05
np           boaz                               0.000198906
np           bob                                0.00258578
np           bobby                              0.000397812
np           bock                               9.9453e-05
np           bodenheim                          9.9453e-05
np           bodin                              9.9453e-05
np           boehmer                            9.9453e-05
np           boismassif                         9.9453e-05
np           boland                             9.9453e-05
np           bolet                              9.9453e-05
np           bolger                             0.000198906
np           bolivar                            9.9453e-05
np           bolker                             0.000198906
np           bond                               0.000198906
np           bondi                              0.000298359
np           bonn                               0.000497265
np           bonnor                             0.000397812
np           bontempo                           0.000198906
np           bookwalter                         9.9453e-05
np           boothby                            9.9453e-05
np           bootle                             0.000198906
np           borak                              9.9453e-05
np           bordeau                            9.9453e-05
np           borland                            9.9453e-05
np           boron                              9.9453e-05
np           bosch                              9.9453e-05
np           bosco                              9.9453e-05
np           bosley                             9.9453e-05
np           bostitch                           9.9453e-05
np           boston                             0.00109398
